Type,From Date,To Date,Quantity,Amount
Location: NWN Corporation - ABC High School ,,,,
Access - 20 Mbps,9/15/2017,9/30/2017,1,$187.20 
Best Effort CoSP,9/15/2017,9/30/2017,1,$0.00 
Equipment - Tier A: 3 Year,9/15/2017,9/30/2017,1,$10.13 
First CoS,9/15/2017,9/30/2017,1,$16.00 
INOC - Basic,9/15/2017,9/30/2017,1,$0.00 
OneNet,9/15/2017,9/30/2017,1,$80.00 
Port  -  20  Mbps,9/15/2017,9/30/2017,1,$184.00 
Second CoS,9/15/2017,9/30/2017,1,$10.67 
OneCentral Portal,9/15/2017,9/30/2017,1,$0.00 
Access - 20 Mbps,10/1/2017,10/31/2017,1,$351.00 
Best Effort CoSP,10/1/2017,10/31/2017,1,$0.00 
Equipment - Tier A: 3 Year,10/1/2017,10/31/2017,1,$19.00 
First CoS,10/1/2017,10/31/2017,1,$30.00 
INOC - Basic,10/1/2017,10/31/2017,1,$0.00 
OneNet,10/1/2017,10/31/2017,1,$150.00 
Port  -  20  Mbps,10/1/2017,10/31/2017,1,$345.00 
Second CoS,10/1/2017,10/31/2017,1,$20.00 
OneCentral Portal,10/1/2017,10/31/2017,1,$0.00 
,,,,"$1,403.00 "
Total,,,,"$1,403.00 "
