col1,col2,col3,col4,col5,col6,col7,col8,col9,col10
5.23,0.79,0.86,8.53,0.32,3.08,37.40,9.57,8.95,4.90
5.11,0.18,0.93,9.15,0.71,2.96,37.26,8.44,2.82,9.60
10.07,0.29,0.76,5.74,0.42,3.43,35.37,4.39,3.62,8.76
10.32,0.06,0.56,9.53,0.91,8.74,35.63,8.16,9.47,6.11
6.75,0.04,0.25,7.93,0.91,6.22,34.22,8.61,8.82,1.39
8.60,0.54,0.73,5.68,0.49,6.59,38.81,2.25,2.11,6.37
7.58,0.76,0.78,7.33,0.56,7.96,33.71,4.10,6.05,3.97
1.37,0.24,0.04,4.52,0.04,5.20,35.02,3.71,1.50,1.44
1.50,0.26,0.16,10.32,0.04,6.10,39.79,8.64,5.31,10.53
1.29,0.28,0.97,4.81,0.27,3.52,32.28,4.07,4.67,1.29
4.57,0.99,0.24,9.71,0.30,9.34,33.12,3.89,10.52,8.52
8.03,0.30,0.90,10.04,0.76,7.67,30.40,7.13,3.73,4.12
2.64,0.60,0.83,8.54,0.72,9.23,31.91,5.20,6.11,3.27
8.94,0.59,0.08,9.85,0.11,8.51,39.29,4.04,6.33,10.11
